vector,word,Pos,wordCount,dt,doc_id,doc,subcorpus,percent_of_total
69,22rd,NOUN,1,20/02/2019,C02c84,69,conspiracy,0.0014641288433382138
69,More,ADJ,2,20/02/2019,C02c84,69,conspiracy,0.0029282576866764276
69,able,ADJ,1,20/02/2019,C02c84,69,conspiracy,0.0014641288433382138
69,access,NOUN,1,20/02/2019,C02c84,69,conspiracy,0.0014641288433382138
69,accumulation,NOUN,1,20/02/2019,C02c84,69,conspiracy,0.0014641288433382138
69,activation,NOUN,1,20/02/2019,C02c84,69,conspiracy,0.0014641288433382138
69,active,ADJ,1,20/02/2019,C02c84,69,conspiracy,0.0014641288433382138
69,administration,NOUN,1,20/02/2019,C02c84,69,conspiracy,0.0014641288433382138
69,advice,NOUN,1,20/02/2019,C02c84,69,conspiracy,0.0014641288433382138
69,afraid,ADJ,1,20/02/2019,C02c84,69,conspiracy,0.0014641288433382138
69,african,ADJ,1,20/02/2019,C02c84,69,conspiracy,0.0014641288433382138
69,age,NOUN,1,20/02/2019,C02c84,69,conspiracy,0.0014641288433382138
69,allegation,NOUN,1,20/02/2019,C02c84,69,conspiracy,0.0014641288433382138
69,american,ADJ,1,20/02/2019,C02c84,69,conspiracy,0.0014641288433382138
69,antivaccination,NOUN,1,20/02/2019,C02c84,69,conspiracy,0.0014641288433382138
69,apparent,ADJ,2,20/02/2019,C02c84,69,conspiracy,0.0029282576866764276
69,appearance,NOUN,1,20/02/2019,C02c84,69,conspiracy,0.0014641288433382138
69,approval,NOUN,1,20/02/2019,C02c84,69,conspiracy,0.0014641288433382138
69,article,NOUN,1,20/02/2019,C02c84,69,conspiracy,0.0014641288433382138
69,assistance,NOUN,1,20/02/2019,C02c84,69,conspiracy,0.0014641288433382138
69,association,NOUN,2,20/02/2019,C02c84,69,conspiracy,0.0029282576866764276
69,attendance,NOUN,1,20/02/2019,C02c84,69,conspiracy,0.0014641288433382138
69,author,NOUN,1,20/02/2019,C02c84,69,conspiracy,0.0014641288433382138
69,authority,NOUN,1,20/02/2019,C02c84,69,conspiracy,0.0014641288433382138
69,autism,NOUN,21,20/02/2019,C02c84,69,conspiracy,0.03074670571010249
69,autistic,ADJ,1,20/02/2019,C02c84,69,conspiracy,0.0014641288433382138
69,avail,NOUN,1,20/02/2019,C02c84,69,conspiracy,0.0014641288433382138
69,aware,ADJ,1,20/02/2019,C02c84,69,conspiracy,0.0014641288433382138
69,behavior,NOUN,1,20/02/2019,C02c84,69,conspiracy,0.0014641288433382138
69,belief,NOUN,1,20/02/2019,C02c84,69,conspiracy,0.0014641288433382138
69,bias,NOUN,1,20/02/2019,C02c84,69,conspiracy,0.0014641288433382138
69,billion,NOUN,1,20/02/2019,C02c84,69,conspiracy,0.0014641288433382138
69,bmj,NOUN,1,20/02/2019,C02c84,69,conspiracy,0.0014641288433382138
69,board,NOUN,2,20/02/2019,C02c84,69,conspiracy,0.0029282576866764276
69,body,NOUN,1,20/02/2019,C02c84,69,conspiracy,0.0014641288433382138
69,book,NOUN,1,20/02/2019,C02c84,69,conspiracy,0.0014641288433382138
69,bowel,NOUN,3,20/02/2019,C02c84,69,conspiracy,0.004392386530014641
69,boy,NOUN,1,20/02/2019,C02c84,69,conspiracy,0.0014641288433382138
69,brain,NOUN,1,20/02/2019,C02c84,69,conspiracy,0.0014641288433382138
69,british,ADJ,2,20/02/2019,C02c84,69,conspiracy,0.0029282576866764276
69,call,NOUN,3,20/02/2019,C02c84,69,conspiracy,0.004392386530014641
69,care,NOUN,1,20/02/2019,C02c84,69,conspiracy,0.0014641288433382138
69,career,NOUN,1,20/02/2019,C02c84,69,conspiracy,0.0014641288433382138
69,cartel,NOUN,1,20/02/2019,C02c84,69,conspiracy,0.0014641288433382138
69,case,NOUN,8,20/02/2019,C02c84,69,conspiracy,0.01171303074670571
69,causation,NOUN,1,20/02/2019,C02c84,69,conspiracy,0.0014641288433382138
69,cause,NOUN,2,20/02/2019,C02c84,69,conspiracy,0.0029282576866764276
69,cellular,ADJ,2,20/02/2019,C02c84,69,conspiracy,0.0029282576866764276
69,central,ADJ,1,20/02/2019,C02c84,69,conspiracy,0.0014641288433382138
69,certain,ADJ,1,20/02/2019,C02c84,69,conspiracy,0.0014641288433382138
69,charge,NOUN,1,20/02/2019,C02c84,69,conspiracy,0.0014641288433382138
69,child,NOUN,19,20/02/2019,C02c84,69,conspiracy,0.027818448023426062
69,chronic,ADJ,2,20/02/2019,C02c84,69,conspiracy,0.0029282576866764276
69,claim,NOUN,1,20/02/2019,C02c84,69,conspiracy,0.0014641288433382138
