vector,word,Pos,wordCount,dt,doc_id,subcorpus,percent_of_total
86,People,NOUN,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,act,NOUN,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,agenda,NOUN,2,06/06/2019,C02f8d,conspiracy,0.008620689655172414
86,ally,NOUN,2,06/06/2019,C02f8d,conspiracy,0.008620689655172414
86,apology,NOUN,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,apparatus,NOUN,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,area,NOUN,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,army,NOUN,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,article,NOUN,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,assad,ADJ,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,assassination,NOUN,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,attack,NOUN,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,attention,NOUN,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,backingof,NOUN,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,barbarian,NOUN,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,brilliant,ADJ,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,british,ADJ,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,call,NOUN,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,camerafriendly,ADJ,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,campaign,NOUN,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,certain,ADJ,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,change,NOUN,2,06/06/2019,C02f8d,conspiracy,0.008620689655172414
86,character,NOUN,2,06/06/2019,C02f8d,conspiracy,0.008620689655172414
86,chemical,ADJ,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,civilian,NOUN,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,clear,ADJ,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,closedoff,NOUN,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,complete,ADJ,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,content,NOUN,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,contractor,NOUN,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,control,NOUN,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,crime,NOUN,2,06/06/2019,C02f8d,conspiracy,0.008620689655172414
86,crucial,ADJ,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,dam,NOUN,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,damage,NOUN,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,day,NOUN,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,demand,NOUN,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,document,NOUN,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,documentary,NOUN,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,early,ADJ,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,earning,NOUN,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,endless,ADJ,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,energy,NOUN,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,evidence,NOUN,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,excellent,ADJ,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,extremist,ADJ,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,faction,NOUN,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,fan,NOUN,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,few,ADJ,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,film,NOUN,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,firm,NOUN,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,footage,NOUN,2,06/06/2019,C02f8d,conspiracy,0.008620689655172414
86,foray,NOUN,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,form,NOUN,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,former,ADJ,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,franchise,NOUN,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,fun,ADJ,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,funding,NOUN,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,future,ADJ,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,game,NOUN,8,06/06/2019,C02f8d,conspiracy,0.034482758620689655
86,goal,NOUN,2,06/06/2019,C02f8d,conspiracy,0.008620689655172414
86,good,ADJ,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,government,NOUN,2,06/06/2019,C02f8d,conspiracy,0.008620689655172414
86,grid,NOUN,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,ground,NOUN,1,06/06/2019,C02f8d,conspiracy,0.004310344827586207
86,group,NOUN,3,06/06/2019,C02f8d,conspiracy,0.01293103448275862
