,filename,word,wordavg,percent_of_total,JSD,final_JSD,dt,vector,Pos,wordCount,doc_id,doc,subcorpus,wordCount_x,wordCount_y
36,1,cell,0.0011663449163449,0.0210526315789473,0.07392061597954767,,01/06/2018,26.0,NOUN,,M168c2,26.0,mainstream,29.0,6.0
37,1,treatment,0.0028153153153153,0.0245614035087719,0.07080561324307985,,01/06/2018,26.0,NOUN,,M168c2,26.0,mainstream,70.0,7.0
38,1,cancer,0.0032175032175032,0.0245614035087719,0.06859650717985726,,01/06/2018,26.0,NOUN,,M168c2,26.0,mainstream,80.0,7.0
39,1,version,0.0006032818532818,0.0140350877192982,0.06195735907212028,,01/06/2018,26.0,NOUN,,M168c2,26.0,mainstream,15.0,4.0
40,1,inhibitor,0.0001206563706563,0.0105263157894736,0.05808017028157756,,01/06/2018,26.0,NOUN,,M168c2,26.0,mainstream,3.0,3.0
41,1,process,0.0011261261261261,0.0140350877192982,0.05718314521460064,,01/06/2018,26.0,NOUN,,M168c2,26.0,mainstream,28.0,4.0
42,1,lung,0.0003217503217503,0.0105263157894736,0.05521161162254294,,01/06/2018,26.0,NOUN,,M168c2,26.0,mainstream,8.0,3.0
43,1,survival,0.0003619691119691,0.0105263157894736,0.05470451755072755,,01/06/2018,26.0,NOUN,,M168c2,26.0,mainstream,9.0,3.0
44,1,biotech,0.000563063063063,0.0105263157894736,0.05236831543251442,,01/06/2018,26.0,ADJ,,M168c2,26.0,mainstream,14.0,3.0
45,1,study,0.0039414414414414,0.0175438596491228,0.04847537081389043,,01/06/2018,26.0,NOUN,,M168c2,26.0,mainstream,98.0,5.0
46,1,new,0.0067567567567567,,0.048450382081589916,,,,,,,,,168.0,
47,1,level,0.0009652509652509,0.0105263157894736,0.048342000207343055,,01/06/2018,26.0,NOUN,,M168c2,26.0,mainstream,24.0,3.0
48,1,people,0.0066361003861003,,0.04801479147912867,,,,,,,,,165.0,
49,1,allogeneic,8.043758043758043e-05,0.0070175438596491,0.04739025401178773,,01/06/2018,26.0,ADJ,,M168c2,26.0,mainstream,2.0,2.0
50,1,autologous,8.043758043758043e-05,0.0070175438596491,0.04739025401178773,,01/06/2018,26.0,ADJ,,M168c2,26.0,mainstream,2.0,2.0
51,1,checkpoint,8.043758043758043e-05,0.0070175438596491,0.04739025401178773,,01/06/2018,26.0,NOUN,,M168c2,26.0,mainstream,2.0,2.0
52,1,epacadostat,8.043758043758043e-05,0.0070175438596491,0.04739025401178773,,01/06/2018,26.0,NOUN,,M168c2,26.0,mainstream,2.0,2.0
53,1,tumour,0.0001608751608751,0.0070175438596491,0.04592058861443296,,01/06/2018,26.0,NOUN,,M168c2,26.0,mainstream,4.0,2.0
54,1,experimental,0.0002413127413127,0.0070175438596491,0.04463362053052007,,01/06/2018,26.0,ADJ,,M168c2,26.0,mainstream,6.0,2.0
55,1,protein,0.0002815315315315,0.0070175438596491,0.04403538213993322,,01/06/2018,26.0,NOUN,,M168c2,26.0,mainstream,7.0,2.0
56,1,result,0.0014880952380952,0.0105263157894736,0.04386554447897602,,01/06/2018,26.0,NOUN,,M168c2,26.0,mainstream,37.0,3.0
57,1,health,0.005349099099099,,0.04309805892323022,,,,,,,,,133.0,
58,1,world,0.0050273487773487,,0.04177934369501306,,,,,,,,,125.0,
59,1,high,0.0018098455598455,0.0105263157894736,0.04138957900173044,,01/06/2018,26.0,ADJ,,M168c2,26.0,mainstream,45.0,3.0
60,2,order,0.0008043758043758,0.0257731958762886,0.08652902188002269,,12/10/2018,32.0,NOUN,,M17876,32.0,mainstream,20.0,5.0
61,2,challenge,0.0006435006435006,0.0206185567010309,0.07731134405861528,,12/10/2018,32.0,NOUN,,M17876,32.0,mainstream,16.0,4.0
