vector,word,Pos,wordCount,dt,doc_id,doc,subcorpus,percent_of_total
65,animal,NOUN,1,13/03/2019,C024d2,65,conspiracy,0.01020408163265306
65,anticancer,NOUN,1,13/03/2019,C024d2,65,conspiracy,0.01020408163265306
65,antiviral,ADJ,1,13/03/2019,C024d2,65,conspiracy,0.01020408163265306
65,big,ADJ,1,13/03/2019,C024d2,65,conspiracy,0.01020408163265306
65,bird,NOUN,1,13/03/2019,C024d2,65,conspiracy,0.01020408163265306
65,blood,NOUN,1,13/03/2019,C024d2,65,conspiracy,0.01020408163265306
65,cashmere,ADJ,1,13/03/2019,C024d2,65,conspiracy,0.01020408163265306
65,cell,NOUN,2,13/03/2019,C024d2,65,conspiracy,0.02040816326530612
65,chicken,NOUN,2,13/03/2019,C024d2,65,conspiracy,0.02040816326530612
65,child,NOUN,1,13/03/2019,C024d2,65,conspiracy,0.01020408163265306
65,cow,NOUN,1,13/03/2019,C024d2,65,conspiracy,0.01020408163265306
65,deletion,NOUN,2,13/03/2019,C024d2,65,conspiracy,0.02040816326530612
65,dna,NOUN,2,13/03/2019,C024d2,65,conspiracy,0.02040816326530612
65,edible,ADJ,1,13/03/2019,C024d2,65,conspiracy,0.01020408163265306
65,effect,NOUN,2,13/03/2019,C024d2,65,conspiracy,0.02040816326530612
65,experiment,NOUN,1,13/03/2019,C024d2,65,conspiracy,0.01020408163265306
65,extra,ADJ,1,13/03/2019,C024d2,65,conspiracy,0.01020408163265306
65,flu,NOUN,2,13/03/2019,C024d2,65,conspiracy,0.02040816326530612
65,form,NOUN,1,13/03/2019,C024d2,65,conspiracy,0.01020408163265306
65,future,NOUN,1,13/03/2019,C024d2,65,conspiracy,0.01020408163265306
65,gene,NOUN,4,13/03/2019,C024d2,65,conspiracy,0.04081632653061224
65,genetic,ADJ,1,13/03/2019,C024d2,65,conspiracy,0.01020408163265306
65,goal,NOUN,1,13/03/2019,C024d2,65,conspiracy,0.01020408163265306
65,goat,NOUN,1,13/03/2019,C024d2,65,conspiracy,0.01020408163265306
65,growth,NOUN,1,13/03/2019,C024d2,65,conspiracy,0.01020408163265306
65,human,ADJ,2,13/03/2019,C024d2,65,conspiracy,0.02040816326530612
65,influenza,NOUN,2,13/03/2019,C024d2,65,conspiracy,0.02040816326530612
65,insertion,NOUN,1,13/03/2019,C024d2,65,conspiracy,0.01020408163265306
65,large,ADJ,2,13/03/2019,C024d2,65,conspiracy,0.02040816326530612
65,lean,ADJ,1,13/03/2019,C024d2,65,conspiracy,0.01020408163265306
65,long,ADJ,1,13/03/2019,C024d2,65,conspiracy,0.01020408163265306
65,macrophageCSF,NOUN,1,13/03/2019,C024d2,65,conspiracy,0.01020408163265306
65,malaria,NOUN,1,13/03/2019,C024d2,65,conspiracy,0.01020408163265306
65,milk,NOUN,1,13/03/2019,C024d2,65,conspiracy,0.01020408163265306
65,modification,NOUN,1,13/03/2019,C024d2,65,conspiracy,0.01020408163265306
65,motivation,NOUN,1,13/03/2019,C024d2,65,conspiracy,0.01020408163265306
65,muscle,NOUN,3,13/03/2019,C024d2,65,conspiracy,0.030612244897959183
65,mutation,NOUN,1,13/03/2019,C024d2,65,conspiracy,0.01020408163265306
