vector,word,Pos,wordCount,dt,doc_id,subcorpus,percent_of_total
18,Most,ADJ,1,21/04/2020,M20d46,mainstream,0.0031645569620253164
18,access,NOUN,2,21/04/2020,M20d46,mainstream,0.006329113924050633
18,accessible,ADJ,1,21/04/2020,M20d46,mainstream,0.0031645569620253164
18,adequate,ADJ,1,21/04/2020,M20d46,mainstream,0.0031645569620253164
18,advantageous,ADJ,1,21/04/2020,M20d46,mainstream,0.0031645569620253164
18,affordable,ADJ,1,21/04/2020,M20d46,mainstream,0.0031645569620253164
18,aggressive,ADJ,1,21/04/2020,M20d46,mainstream,0.0031645569620253164
18,agreement,NOUN,1,21/04/2020,M20d46,mainstream,0.0031645569620253164
18,aid,NOUN,1,21/04/2020,M20d46,mainstream,0.0031645569620253164
18,alarm,NOUN,1,21/04/2020,M20d46,mainstream,0.0031645569620253164
18,antiviral,ADJ,1,21/04/2020,M20d46,mainstream,0.0031645569620253164
18,article,NOUN,1,21/04/2020,M20d46,mainstream,0.0031645569620253164
18,attempt,NOUN,1,21/04/2020,M20d46,mainstream,0.0031645569620253164
18,available,ADJ,1,21/04/2020,M20d46,mainstream,0.0031645569620253164
18,backing,NOUN,1,21/04/2020,M20d46,mainstream,0.0031645569620253164
18,backlash,NOUN,1,21/04/2020,M20d46,mainstream,0.0031645569620253164
18,basic,ADJ,1,21/04/2020,M20d46,mainstream,0.0031645569620253164
18,biopharmaceutical,NOUN,1,21/04/2020,M20d46,mainstream,0.0031645569620253164
18,blueprint,NOUN,1,21/04/2020,M20d46,mainstream,0.0031645569620253164
18,breathing,NOUN,1,21/04/2020,M20d46,mainstream,0.0031645569620253164
18,business,NOUN,1,21/04/2020,M20d46,mainstream,0.0031645569620253164
18,campaign,NOUN,1,21/04/2020,M20d46,mainstream,0.0031645569620253164
18,care,NOUN,1,21/04/2020,M20d46,mainstream,0.0031645569620253164
18,carmaker,NOUN,1,21/04/2020,M20d46,mainstream,0.0031645569620253164
18,chaotic,ADJ,1,21/04/2020,M20d46,mainstream,0.0031645569620253164
18,charitable,ADJ,1,21/04/2020,M20d46,mainstream,0.0031645569620253164
