,filename,word,wordavg,percent_of_total,JSD,final_JSD,dt,period,vector,Pos,wordCount,doc_id,doc,subcorpus,wordCount_x,wordCount_y
55,83,wearable,0.0092879256965944,,0.05683118246256911,,,01/06/2,,,,,,,9.0,
56,83,work,0.0092879256965944,,0.05683118246256911,,,01/06/2,,,,,,,9.0,
57,1,light,0.0196078431372549,0.0035087719298245,0.05588314187511616,,01/06/2018,01/06/2,26.0,NOUN,,M168c2,26.0,mainstream,19.0,1.0
58,1,interface,0.0082559339525283,,0.05357092558014114,,,01/06/2,,,,,,,8.0,
59,1,screen,0.0082559339525283,,0.05357092558014114,,,01/06/2,,,,,,,8.0,
60,2,user,0.0288957688338493,,0.10060027269134006,,,12/10/2,,,,,,,28.0,
61,2,device,0.023735810113519,,0.09109048274394117,,,12/10/2,,,,,,,23.0,
62,2,people,0.0216718266253869,,0.08700710078191283,,,12/10/2,,,,,,,21.0,
63,2,light,0.0196078431372549,,0.0827290496253464,,,12/10/2,,,,,,,19.0,
64,2,new,0.001031991744066,0.0206185567010309,0.07401375517641572,,12/10/2018,12/10/2,32.0,ADJ,,M17876,32.0,mainstream,1.0,4.0
65,2,day,0.0103199174406604,,0.05991654641655937,,,12/10/2,,,,,,,10.0,
66,2,wearable,0.0092879256965944,,0.05683118246256911,,,12/10/2,,,,,,,9.0,
67,2,work,0.0092879256965944,,0.05683118246256911,,,12/10/2,,,,,,,9.0,
68,2,interface,0.0082559339525283,,0.05357092558014114,,,12/10/2,,,,,,,8.0,
69,2,level,0.0082559339525283,,0.05357092558014114,,,12/10/2,,,,,,,8.0,
70,2,screen,0.0082559339525283,,0.05357092558014114,,,12/10/2,,,,,,,8.0,
71,2,sound,0.0082559339525283,,0.05357092558014114,,,12/10/2,,,,,,,8.0,
72,2,space,0.0082559339525283,,0.05357092558014114,,,12/10/2,,,,,,,8.0,
73,2,time,0.0082559339525283,,0.05357092558014114,,,12/10/2,,,,,,,8.0,
74,2,app,0.0072239422084623,,0.05010164085171635,,,12/10/2,,,,,,,7.0,
75,2,bracelet,0.0072239422084623,,0.05010164085171635,,,12/10/2,,,,,,,7.0,
76,2,massage,0.0072239422084623,,0.05010164085171635,,,12/10/2,,,,,,,7.0,
77,2,pillow,0.0072239422084623,,0.05010164085171635,,,12/10/2,,,,,,,7.0,
78,2,portable,0.0072239422084623,,0.05010164085171635,,,12/10/2,,,,,,,7.0,
79,2,surface,0.0072239422084623,,0.05010164085171635,,,12/10/2,,,,,,,7.0,
80,2,wrist,0.0072239422084623,,0.05010164085171635,,,12/10/2,,,,,,,7.0,
81,2,interactive,0.0061919504643962,,0.046376437184911745,,,12/10/2,,,,,,,6.0,
82,2,posture,0.0061919504643962,,0.046376437184911745,,,12/10/2,,,,,,,6.0,
83,2,tangible,0.0061919504643962,,0.046376437184911745,,,12/10/2,,,,,,,6.0,
84,2,track,0.0061919504643962,,0.046376437184911745,,,12/10/2,,,,,,,6.0,
85,2,other,0.0061919504643962,0.0206185567010309,0.04553740338477065,,12/10/2018,12/10/2,32.0,NOUN,,M17876,32.0,mainstream,6.0,4.0
86,2,ambience,0.0051599587203302,,0.04232779439838552,,,12/10/2,,,,,,,5.0,
87,2,color,0.0051599587203302,,0.04232779439838552,,,12/10/2,,,,,,,5.0,
88,2,desk,0.0051599587203302,,0.04232779439838552,,,12/10/2,,,,,,,5.0,
89,2,display,0.0051599587203302,,0.04232779439838552,,,12/10/2,,,,,,,5.0,
90,3,user,0.0288957688338493,,0.10060027269134006,,,06/03/2,,,,,,,28.0,
91,3,device,0.023735810113519,,0.09109048274394117,,,06/03/2,,,,,,,23.0,
92,3,people,0.0216718266253869,,0.08700710078191283,,,06/03/2,,,,,,,21.0,
93,3,light,0.0196078431372549,,0.0827290496253464,,,06/03/2,,,,,,,19.0,
94,3,life,0.001031991744066,0.0227272727272727,0.07855470904267713,,06/03/2020,06/03/2,33.0,NOUN,,M0c23d,33.0,mainstream,1.0,1.0
95,3,new,0.001031991744066,0.0227272727272727,0.07855470904267713,,06/03/2020,06/03/2,33.0,ADJ,,M0c23d,33.0,mainstream,1.0,1.0
96,3,many,0.002063983488132,0.0227272727272727,0.0713643376322697,,06/03/2020,06/03/2,33.0,ADJ,,M0c23d,33.0,mainstream,2.0,1.0
97,3,day,0.0103199174406604,,0.05991654641655937,,,06/03/2,,,,,,,10.0,
