vector,word,Pos,wordCount,dt,doc_id,subcorpus,percent_of_total
17,People,NOUN,1,18/06/2020,M16675,mainstream,0.003663003663003663
17,able,ADJ,1,18/06/2020,M16675,mainstream,0.003663003663003663
17,access,NOUN,1,18/06/2020,M16675,mainstream,0.003663003663003663
17,action,NOUN,2,18/06/2020,M16675,mainstream,0.007326007326007326
17,agency,NOUN,1,18/06/2020,M16675,mainstream,0.003663003663003663
17,aid,NOUN,1,18/06/2020,M16675,mainstream,0.003663003663003663
17,antiviral,ADJ,2,18/06/2020,M16675,mainstream,0.007326007326007326
17,available,ADJ,1,18/06/2020,M16675,mainstream,0.003663003663003663
17,aviation,NOUN,1,18/06/2020,M16675,mainstream,0.003663003663003663
17,aware,ADJ,1,18/06/2020,M16675,mainstream,0.003663003663003663
17,benefit,NOUN,1,18/06/2020,M16675,mainstream,0.003663003663003663
17,big,ADJ,1,18/06/2020,M16675,mainstream,0.003663003663003663
17,billion,NOUN,2,18/06/2020,M16675,mainstream,0.007326007326007326
17,blocker,NOUN,1,18/06/2020,M16675,mainstream,0.003663003663003663
17,body,NOUN,1,18/06/2020,M16675,mainstream,0.003663003663003663
17,briefing,NOUN,1,18/06/2020,M16675,mainstream,0.003663003663003663
17,case,NOUN,1,18/06/2020,M16675,mainstream,0.003663003663003663
17,challenge,NOUN,1,18/06/2020,M16675,mainstream,0.003663003663003663
17,charge,NOUN,1,18/06/2020,M16675,mainstream,0.003663003663003663
17,chief,ADJ,1,18/06/2020,M16675,mainstream,0.003663003663003663
17,circumstance,NOUN,1,18/06/2020,M16675,mainstream,0.003663003663003663
17,collaboration,NOUN,2,18/06/2020,M16675,mainstream,0.007326007326007326
17,collaborative,ADJ,1,18/06/2020,M16675,mainstream,0.003663003663003663
17,company,NOUN,12,18/06/2020,M16675,mainstream,0.04395604395604396
17,compulsory,ADJ,2,18/06/2020,M16675,mainstream,0.007326007326007326
17,consent,NOUN,1,18/06/2020,M16675,mainstream,0.003663003663003663
17,coronavirus,NOUN,6,18/06/2020,M16675,mainstream,0.02197802197802198
17,country,NOUN,3,18/06/2020,M16675,mainstream,0.01098901098901099
17,crisis,NOUN,4,18/06/2020,M16675,mainstream,0.014652014652014652
17,criticism,NOUN,2,18/06/2020,M16675,mainstream,0.007326007326007326
17,crucial,ADJ,1,18/06/2020,M16675,mainstream,0.003663003663003663
17,cure,NOUN,1,18/06/2020,M16675,mainstream,0.003663003663003663
17,debate,NOUN,1,18/06/2020,M16675,mainstream,0.003663003663003663
17,decade,NOUN,1,18/06/2020,M16675,mainstream,0.003663003663003663
17,decline,NOUN,1,18/06/2020,M16675,mainstream,0.003663003663003663
