vector,word,Pos,wordCount,dt,doc_id,doc,subcorpus,percent_of_total
54,accidental,ADJ,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,agent,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,all,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,assault,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,ball,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,bank,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,biddable,ADJ,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,bit,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,bogus,ADJ,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,book,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,business,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,case,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,chapter,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,company,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,competitor,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,contractor,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,country,NOUN,3,06/04/2019,C06ae7,54,conspiracy,0.025
54,death,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,debacle,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,detail,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,disconnection,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,drilling,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,economic,ADJ,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,economist,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,economy,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,enormous,ADJ,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,excerpt,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,exploit,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,eye,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,fall,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,family,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,few,ADJ,3,06/04/2019,C06ae7,54,conspiracy,0.025
54,fictional,ADJ,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,figure,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,first,ADJ,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,foreigner,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,friendship,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,frustration,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,full,ADJ,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,grandson,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,growth,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,hook,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,improvement,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,inflated,ADJ,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,infrastructure,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,insubordination,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,interview,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,job,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,kind,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,leader,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,lent,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,life,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,little,ADJ,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,loan,NOUN,2,06/04/2019,C06ae7,54,conspiracy,0.016666666666666666
54,man,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,mendacious,ADJ,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,money,NOUN,2,06/04/2019,C06ae7,54,conspiracy,0.016666666666666666
54,month,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,more,ADJ,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,muslim,ADJ,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,nation,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,other,ADJ,2,06/04/2019,C06ae7,54,conspiracy,0.016666666666666666
54,overthrow,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,people,NOUN,2,06/04/2019,C06ae7,54,conspiracy,0.016666666666666666
54,perkin,NOUN,2,06/04/2019,C06ae7,54,conspiracy,0.016666666666666666
54,perpetuity,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,pipeline,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,place,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,platform,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,plenty,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,poor,ADJ,2,06/04/2019,C06ae7,54,conspiracy,0.016666666666666666
54,position,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,power,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,process,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,projection,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,question,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,reality,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,reference,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,regime,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,review,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,revolt,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,revolutionary,ADJ,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,right,ADJ,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,seed,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,sexual,ADJ,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,shah,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,short,ADJ,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,small,ADJ,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,sovereignty,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,stage,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,station,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,stomach,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,strategy,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,surprise,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,suspicious,ADJ,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
54,target,NOUN,1,06/04/2019,C06ae7,54,conspiracy,0.008333333333333333
