vector,word,Pos,wordCount,dt,doc_id,subcorpus,percent_of_total
74,above,ADJ,1,01/06/2016,C008d6,conspiracy,0.010638297872340425
74,activist,NOUN,1,01/06/2016,C008d6,conspiracy,0.010638297872340425
74,administration,NOUN,1,01/06/2016,C008d6,conspiracy,0.010638297872340425
74,alternative,ADJ,1,01/06/2016,C008d6,conspiracy,0.010638297872340425
74,american,ADJ,1,01/06/2016,C008d6,conspiracy,0.010638297872340425
74,analysis,NOUN,1,01/06/2016,C008d6,conspiracy,0.010638297872340425
74,analytic,ADJ,1,01/06/2016,C008d6,conspiracy,0.010638297872340425
74,anarchosyndicalism,NOUN,1,01/06/2016,C008d6,conspiracy,0.010638297872340425
74,author,NOUN,1,01/06/2016,C008d6,conspiracy,0.010638297872340425
74,big,ADJ,1,01/06/2016,C008d6,conspiracy,0.010638297872340425
74,book,NOUN,1,01/06/2016,C008d6,conspiracy,0.010638297872340425
74,brain,NOUN,1,01/06/2016,C008d6,conspiracy,0.010638297872340425
74,century,NOUN,1,01/06/2016,C008d6,conspiracy,0.010638297872340425
74,change,NOUN,1,01/06/2016,C008d6,conspiracy,0.010638297872340425
74,classified,ADJ,1,01/06/2016,C008d6,conspiracy,0.010638297872340425
74,cognitive,ADJ,2,01/06/2016,C008d6,conspiracy,0.02127659574468085
74,controversial,ADJ,1,01/06/2016,C008d6,conspiracy,0.010638297872340425
74,criminal,ADJ,1,01/06/2016,C008d6,conspiracy,0.010638297872340425
74,critic,NOUN,1,01/06/2016,C008d6,conspiracy,0.010638297872340425
74,deadly,ADJ,1,01/06/2016,C008d6,conspiracy,0.010638297872340425
74,effectiveness,NOUN,1,01/06/2016,C008d6,conspiracy,0.010638297872340425
74,effort,NOUN,1,01/06/2016,C008d6,conspiracy,0.010638297872340425
74,elitist,ADJ,1,01/06/2016,C008d6,conspiracy,0.010638297872340425
74,family,NOUN,1,01/06/2016,C008d6,conspiracy,0.010638297872340425
74,father,NOUN,1,01/06/2016,C008d6,conspiracy,0.010638297872340425
74,field,NOUN,1,01/06/2016,C008d6,conspiracy,0.010638297872340425
74,figure,NOUN,1,01/06/2016,C008d6,conspiracy,0.010638297872340425
74,force,NOUN,1,01/06/2016,C008d6,conspiracy,0.010638297872340425
74,foremost,ADJ,1,01/06/2016,C008d6,conspiracy,0.010638297872340425
74,founder,NOUN,1,01/06/2016,C008d6,conspiracy,0.010638297872340425
74,full,ADJ,1,01/06/2016,C008d6,conspiracy,0.010638297872340425
74,globe,NOUN,1,01/06/2016,C008d6,conspiracy,0.010638297872340425
74,historian,NOUN,2,01/06/2016,C008d6,conspiracy,0.02127659574468085
74,history,NOUN,1,01/06/2016,C008d6,conspiracy,0.010638297872340425
74,insurgency,NOUN,1,01/06/2016,C008d6,conspiracy,0.010638297872340425
74,intellectual,NOUN,1,01/06/2016,C008d6,conspiracy,0.010638297872340425
74,interview,NOUN,2,01/06/2016,C008d6,conspiracy,0.02127659574468085
74,jewish,ADJ,1,01/06/2016,C008d6,conspiracy,0.010638297872340425
74,libertarian,ADJ,1,01/06/2016,C008d6,conspiracy,0.010638297872340425
74,like,NOUN,1,01/06/2016,C008d6,conspiracy,0.010638297872340425
