word,Pos_x,wordCount_x,dt,doc_id,doc,subcorpus,percent_of_total,Pos_y,avg_freq,wordCount_y,prevalence,wordavg
intestine,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.004784688995215311,1,0.01,4.021879021879022e-05
issue,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.0061857821532640385,23,0.23,0.0009250321750321751
journal,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.00547667375232765,12,0.12,0.00048262548262548264
kid,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.0051085462130645845,4,0.04,0.00016087516087516087
last,ADJ,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,ADJ,0.007997544462824415,66,0.66,0.0026544401544401543
link,NOUN,3,04/09/2008,M113e9,1,mainstream,0.014354066985645933,NOUN,0.008671452864540798,20,0.2,0.0008043758043758043
many,ADJ,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,ADJ,0.008157668737074871,121,1.21,0.004866473616473617
material,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.005859761820171216,24,0.24,0.0009652509652509653
measle,NOUN,10,04/09/2008,M113e9,1,mainstream,0.04784688995215311,NOUN,0.025156901281768063,25,0.25,0.0010054697554697555
medicine,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.009743618766406455,48,0.48,0.0019305019305019305
modern,ADJ,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,ADJ,0.004249258437637406,9,0.09,0.00036196911196911195
month,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.007320490142235318,51,0.51,0.002051158301158301
more,ADJ,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,ADJ,0.009654544511427917,142,1.42,0.005711068211068211
mump,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.0045885377626149765,4,0.04,0.00016087516087516087
nervous,ADJ,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,ADJ,0.0037409179241901388,5,0.05,0.00020109395109395108
neurologic,ADJ,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,ADJ,0.004784688995215311,1,0.01,4.021879021879022e-05
new,ADJ,2,04/09/2008,M113e9,1,mainstream,0.009569377990430622,ADJ,0.011556071826530062,168,1.68,0.006756756756756757
one,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.006026301188123777,39,0.39,0.0015685328185328184
online,ADJ,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.00616752468051602,5,0.05,0.00020109395109395108
other,ADJ,2,04/09/2008,M113e9,1,mainstream,0.009569377990430622,NOUN,0.009793765738494659,174,1.74,0.006998069498069498
pain,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.004007318069910996,11,0.11,0.0004424066924066924
parent,NOUN,3,04/09/2008,M113e9,1,mainstream,0.014354066985645933,NOUN,0.010600177553112983,13,0.13,0.0005228442728442728
part,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.007191958887806726,65,0.65,0.0026142213642213643
patient,NOUN,3,04/09/2008,M113e9,1,mainstream,0.014354066985645933,NOUN,0.01531851724452471,107,1.07,0.004303410553410553
population,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.006424859237767475,40,0.4,0.0016087516087516086
precede,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.004784688995215311,1,0.01,4.021879021879022e-05
problem,NOUN,2,04/09/2008,M113e9,1,mainstream,0.009569377990430622,NOUN,0.005245137022034232,33,0.33,0.0013272200772200772
product,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.009550244839544282,48,0.48,0.0019305019305019305
