vector,word,Pos,wordCount,dt,doc_id,subcorpus,percent_of_total
40,FTs,ADJ,1,30/04/2018,M1d041,mainstream,0.004545454545454545
40,MINI,ADJ,1,30/04/2018,M1d041,mainstream,0.004545454545454545
40,accuracy,NOUN,1,30/04/2018,M1d041,mainstream,0.004545454545454545
40,activity,NOUN,1,30/04/2018,M1d041,mainstream,0.004545454545454545
40,additional,ADJ,1,30/04/2018,M1d041,mainstream,0.004545454545454545
40,advert,NOUN,1,30/04/2018,M1d041,mainstream,0.004545454545454545
40,advertising,NOUN,1,30/04/2018,M1d041,mainstream,0.004545454545454545
40,age,NOUN,3,30/04/2018,M1d041,mainstream,0.013636363636363636
40,agency,NOUN,2,30/04/2018,M1d041,mainstream,0.00909090909090909
40,alliance,NOUN,1,30/04/2018,M1d041,mainstream,0.004545454545454545
40,ambition,NOUN,1,30/04/2018,M1d041,mainstream,0.004545454545454545
40,approach,NOUN,1,30/04/2018,M1d041,mainstream,0.004545454545454545
40,art,NOUN,5,30/04/2018,M1d041,mainstream,0.022727272727272728
40,article,NOUN,2,30/04/2018,M1d041,mainstream,0.00909090909090909
40,artist,NOUN,3,30/04/2018,M1d041,mainstream,0.013636363636363636
40,audience,NOUN,3,30/04/2018,M1d041,mainstream,0.013636363636363636
40,authority,NOUN,1,30/04/2018,M1d041,mainstream,0.004545454545454545
40,big,ADJ,1,30/04/2018,M1d041,mainstream,0.004545454545454545
40,brand,NOUN,2,30/04/2018,M1d041,mainstream,0.00909090909090909
40,business,NOUN,4,30/04/2018,M1d041,mainstream,0.01818181818181818
40,campaign,NOUN,7,30/04/2018,M1d041,mainstream,0.031818181818181815
40,centre,NOUN,1,30/04/2018,M1d041,mainstream,0.004545454545454545
40,character,NOUN,1,30/04/2018,M1d041,mainstream,0.004545454545454545
40,chief,ADJ,1,30/04/2018,M1d041,mainstream,0.004545454545454545
40,clear,ADJ,1,30/04/2018,M1d041,mainstream,0.004545454545454545
40,colourful,ADJ,1,30/04/2018,M1d041,mainstream,0.004545454545454545
40,columnist,NOUN,1,30/04/2018,M1d041,mainstream,0.004545454545454545
40,communication,NOUN,1,30/04/2018,M1d041,mainstream,0.004545454545454545
40,company,NOUN,1,30/04/2018,M1d041,mainstream,0.004545454545454545
40,compelling,ADJ,1,30/04/2018,M1d041,mainstream,0.004545454545454545
40,concept,NOUN,1,30/04/2018,M1d041,mainstream,0.004545454545454545
40,content,NOUN,2,30/04/2018,M1d041,mainstream,0.00909090909090909
40,conversation,NOUN,1,30/04/2018,M1d041,mainstream,0.004545454545454545
