word,Pos,avg_freq,wordCount,prevalence,wordavg
achievement,NOUN,0.0031847133757961785,1,0.01,4.021879021879022e-05
acquisition,NOUN,0.005398110661268556,4,0.04,0.00016087516087516087
act,NOUN,0.004169081262435892,5,0.05,0.00020109395109395108
action,NOUN,0.009956295518168888,17,0.17,0.0006837194337194337
activation,NOUN,0.0014641288433382138,1,0.01,4.021879021879022e-05
active,ADJ,0.0030675624970101225,8,0.08,0.00032175032175032174
activist,NOUN,0.006385548829231779,6,0.06,0.00024131274131274132
activity,NOUN,0.0032974464036888097,5,0.05,0.00020109395109395108
actor,NOUN,0.00468751037206678,4,0.04,0.00016087516087516087
actual,ADJ,0.006382879389845333,5,0.05,0.00020109395109395108
acute,ADJ,0.00394751241727417,3,0.03,0.00012065637065637066
ad,NOUN,0.009402259402259402,5,0.05,0.00020109395109395108
adaptation,NOUN,0.0021645021645021645,1,0.01,4.021879021879022e-05
addict,NOUN,0.0023584905660377358,1,0.01,4.021879021879022e-05
addicted,ADJ,0.001652892561983471,2,0.02,8.043758043758043e-05
addiction,NOUN,0.005307441666332929,7,0.07,0.00028153153153153153
addictive,ADJ,0.0024793388429752068,3,0.03,0.00012065637065637066
addition,NOUN,0.00464946016765699,10,0.1,0.00040218790218790216
additional,ADJ,0.004937829043707666,8,0.08,0.00032175032175032174
additive,NOUN,0.02127659574468085,1,0.01,4.021879021879022e-05
adequate,ADJ,0.003144369583602773,3,0.03,0.00012065637065637066
administer,NOUN,0.0026595744680851063,1,0.01,4.021879021879022e-05
administration,NOUN,0.005051566133727681,13,0.13,0.0005228442728442728
administrator,NOUN,0.0029979598945116185,2,0.02,8.043758043758043e-05
admission,NOUN,0.002070393374741201,1,0.01,4.021879021879022e-05
adolescence,NOUN,0.0019880715705765406,1,0.01,4.021879021879022e-05
adolescent,NOUN,0.001407258925784138,2,0.02,8.043758043758043e-05
adopter,NOUN,0.0027397260273972603,1,0.01,4.021879021879022e-05
adoption,NOUN,0.0023638987989869006,2,0.02,8.043758043758043e-05
adult,NOUN,0.004180117830743571,3,0.03,0.00012065637065637066
advance,NOUN,0.0040634448738706115,6,0.06,0.00024131274131274132
advanced,ADJ,0.0039951791730000455,3,0.03,0.00012065637065637066
advantage,NOUN,0.002849892160437989,6,0.06,0.00024131274131274132
advantageous,ADJ,0.0031645569620253164,1,0.01,4.021879021879022e-05
advent,NOUN,0.003105941198605579,3,0.03,0.00012065637065637066
adverse,ADJ,0.008380996542761249,7,0.07,0.00028153153153153153
advert,NOUN,0.01240786240786241,7,0.07,0.00028153153153153153
advertisement,NOUN,0.0041841004184100415,1,0.01,4.021879021879022e-05
advertiser,NOUN,0.006756756756756757,2,0.02,8.043758043758043e-05
advertising,NOUN,0.004711690830671001,4,0.04,0.00016087516087516087
advice,NOUN,0.011048108846676735,9,0.09,0.00036196911196911195
adviser,NOUN,0.0032189771125976444,5,0.05,0.00020109395109395108
advisory,NOUN,0.0014064697609001407,1,0.01,4.021879021879022e-05
advocacy,NOUN,0.009345794392523364,1,0.01,4.021879021879022e-05
advocate,NOUN,0.005470411277364084,3,0.03,0.00012065637065637066
aerial,ADJ,0.005025125628140704,1,0.01,4.021879021879022e-05
aerosol,NOUN,0.004464285714285714,1,0.01,4.021879021879022e-05
aesthete,NOUN,0.03508771929824561,2,0.02,8.043758043758043e-05
aesthetic,ADJ,0.0021645021645021645,1,0.01,4.021879021879022e-05
affair,NOUN,0.0018642753635539522,3,0.03,0.00012065637065637066
