ATT ,VAL,Column2
2013,0.100781609,1995
2013,0.09467408,1996
2013,0.090349051,1997
2013,0.086589913,1998
2013,0.082578221,1999
2014,0.135146518,1990
2014,0.132284446,1991
2014,0.12270873,1992
2014,0.114931278,1993
2014,0.112684384,1994
2014,0.107233086,1995
2014,0.100977427,1996
2014,0.096771167,1997
2014,0.093721126,1998
2014,0.089708454,1999
2015,0.139535847,1990
2015,0.136355123,1991
2015,0.127574851,1992
2015,0.119830283,1993
2015,0.118779446,1994
2015,0.112438494,1995
2015,0.106546736,1996
2015,0.10249263,1997
2015,0.09927728,1998
2015,0.095318671,1999
2016,0.145028437,1990
2016,0.142128787,1991
2016,0.13311295,1992
2016,0.125632063,1993
2016,0.124721687,1994
2016,0.118437723,1995
2016,0.112702218,1996
2016,0.108809775,1997
2016,0.105904803,1998
2016,0.102121922,1999
2017,0.149354592,1990
2017,0.146230025,1991
2017,0.137653168,1992
2017,0.130281229,1993
2017,0.130907353,1994
2017,0.123407573,1995
2017,0.118015855,1996
2017,0.114296092,1997
2017,0.111385716,1998
2017,0.107777371,1999
2018,0.154791833,1990
2018,0.151710548,1991
2018,0.14316231,1992
2018,0.135996022,1993
2018,0.137882978,1994
2018,0.129467268,1995
2018,0.124370821,1996
2018,0.120852089,1997
2018,0.118158037,1998
2018,0.114819517,1999
2019,0.160404305,1990
2019,0.157317886,1991
2019,0.148490176,1992
2019,0.141514655,1993
2019,0.145245921,1994
2019,0.135196384,1995
2019,0.130377624,1996
2019,0.127053864,1997
2019,0.124629112,1998
2019,0.121638648,1999
