Pos_x,wordCount_x,doc,percent_of_total,Pos_y,wordavg,wordCount_y
NOUN,1,17,0.09090909090909091,NOUN,0.09090909090909091,1
ADJ,1,17,0.09090909090909091,ADJ,0.09090909090909091,1
NOUN,1,17,0.09090909090909091,NOUN,0.06331168831168832,2
NOUN,1,17,0.09090909090909091,NOUN,0.13786435786435786,21
NOUN,1,17,0.09090909090909091,NOUN,0.10101010101010101,2
NOUN,1,17,0.09090909090909091,NOUN,0.09090909090909091,2
NOUN,1,17,0.09090909090909091,NOUN,0.09090909090909091,1
NOUN,1,17,0.09090909090909091,NOUN,0.12878787878787878,2
NOUN,1,17,0.09090909090909091,NOUN,0.12161696328362995,9
NOUN,1,18,0.125,NOUN,0.125,1
NOUN,1,18,0.125,NOUN,0.11805555555555555,2
ADJ,1,18,0.125,ADJ,0.12368326118326119,6
NOUN,1,18,0.125,NOUN,0.11666666666666668,3
NOUN,1,18,0.125,NOUN,0.13786435786435786,21
NOUN,1,18,0.125,NOUN,0.17797619047619048,9
ADJ,1,18,0.125,ADJ,0.075,2
NOUN,1,18,0.125,NOUN,0.1638888888888889,3
NOUN,1,19,0.2,NOUN,0.2,1
NOUN,1,19,0.2,NOUN,0.2,2
ADJ,1,19,0.2,ADJ,0.2,1
NOUN,1,19,0.2,NOUN,0.15252525252525254,3
NOUN,1,19,0.2,NOUN,0.2,2
NOUN,1,20,0.2,NOUN,0.2,1
NOUN,1,20,0.2,NOUN,0.13786435786435786,21
ADJ,1,20,0.2,ADJ,0.18471177944862155,7
NOUN,1,20,0.2,NOUN,0.2,1
NOUN,1,20,0.2,NOUN,0.23628117913832197,8
ADJ,1,21,0.16666666666666666,ADJ,0.16666666666666666,1
NOUN,1,21,0.16666666666666666,NOUN,0.16666666666666666,1
NOUN,1,21,0.16666666666666666,NOUN,0.14215686274509803,3
NOUN,1,21,0.16666666666666666,NOUN,0.15252525252525254,3
NOUN,1,21,0.16666666666666666,NOUN,0.10347222222222222,4
ADJ,1,21,0.16666666666666666,ADJ,0.16666666666666666,1
NOUN,1,22,0.125,NOUN,0.07532051282051282,2
NOUN,1,22,0.125,NOUN,0.125,1
NOUN,1,22,0.125,NOUN,0.07564946018893387,5
ADJ,1,22,0.125,ADJ,0.12794117647058825,3
ADJ,1,22,0.125,ADJ,0.125,1
NOUN,1,22,0.125,NOUN,0.13343334297281664,19
ADJ,1,22,0.125,ADJ,0.125,1
NOUN,1,22,0.125,NOUN,0.125,1
ADJ,1,23,0.3333333333333333,ADJ,0.3333333333333333,1
NOUN,1,23,0.3333333333333333,NOUN,0.17753623188405795,2
NOUN,1,23,0.3333333333333333,NOUN,0.21666666666666667,2
ADJ,1,24,0.2,ADJ,0.2,1
NOUN,1,24,0.2,NOUN,0.11666666666666668,3
ADJ,1,24,0.2,ADJ,0.2,1
NOUN,1,24,0.2,NOUN,0.17797619047619048,9
NOUN,1,24,0.2,NOUN,0.2,2
NOUN,1,26,0.1111111111111111,NOUN,0.1111111111111111,1
NOUN,1,26,0.1111111111111111,NOUN,0.1111111111111111,1
NOUN,1,26,0.1111111111111111,NOUN,0.13343334297281664,19
NOUN,1,26,0.1111111111111111,NOUN,0.15555555555555556,2
ADJ,1,26,0.1111111111111111,ADJ,0.0641025641025641,3
NOUN,1,26,0.1111111111111111,NOUN,0.13786435786435786,21
NOUN,1,26,0.1111111111111111,NOUN,0.16203703703703703,3
NOUN,1,26,0.1111111111111111,NOUN,0.16305645065043559,8
NOUN,1,26,0.1111111111111111,NOUN,0.09722222222222221,2
NOUN,1,27,0.1,NOUN,0.1,1
ADJ,1,27,0.1,ADJ,0.14444444444444446,3
ADJ,1,27,0.1,ADJ,0.1,1
NOUN,1,27,0.1,NOUN,0.1,1
ADJ,1,27,0.1,ADJ,0.12368326118326119,6
ADJ,1,27,0.1,ADJ,0.1,1
NOUN,1,27,0.1,NOUN,0.1,1
NOUN,1,27,0.1,NOUN,0.1,1
ADJ,1,27,0.1,ADJ,0.09545454545454546,2
NOUN,1,27,0.1,NOUN,0.21666666666666667,2
NOUN,1,28,0.058823529411764705,NOUN,0.058823529411764705,1
ADJ,1,28,0.058823529411764705,ADJ,0.12794117647058825,3
ADJ,1,28,0.058823529411764705,ADJ,0.035187553282182434,3
NOUN,1,28,0.058823529411764705,NOUN,0.058823529411764705,1
ADJ,1,28,0.058823529411764705,NOUN,0.11631016042780748,6
NOUN,1,28,0.058823529411764705,NOUN,0.09191176470588236,2
NOUN,2,28,0.11764705882352941,NOUN,0.14215686274509803,3
NOUN,1,28,0.058823529411764705,NOUN,0.03671310629514964,3
NOUN,4,28,0.23529411764705882,NOUN,0.10386996904024769,7
NOUN,1,28,0.058823529411764705,NOUN,0.11405228758169934,3
NOUN,2,28,0.11764705882352941,NOUN,0.13707900244400323,28
NOUN,1,28,0.058823529411764705,NOUN,0.058823529411764705,1
NOUN,1,29,0.16666666666666666,NOUN,0.125,4
NOUN,1,29,0.16666666666666666,NOUN,0.16666666666666666,1
NOUN,2,29,0.3333333333333333,NOUN,0.16305645065043559,8
NOUN,1,29,0.16666666666666666,NOUN,0.125,2
NOUN,1,29,0.16666666666666666,NOUN,0.16666666666666666,1
NOUN,1,30,0.09090909090909091,NOUN,0.08279280216351155,5
ADJ,1,30,0.09090909090909091,ADJ,0.12368326118326119,6
