vector,word,Pos,wordCount,doc,percent_of_total
107,buddy,NOUN,1,107,0.08333333333333333
107,collaborative,ADJ,1,107,0.08333333333333333
107,commuting,NOUN,1,107,0.08333333333333333
107,environment,NOUN,1,107,0.08333333333333333
107,material,NOUN,1,107,0.08333333333333333
107,route,NOUN,1,107,0.08333333333333333
107,same,ADJ,2,107,0.16666666666666666
107,study,NOUN,1,107,0.08333333333333333
107,travel,NOUN,1,107,0.08333333333333333
107,type,NOUN,1,107,0.08333333333333333
107,working,NOUN,1,107,0.08333333333333333
