vector,word,Pos,wordCount,doc,percent_of_total
84,cm,NOUN,2,84,0.05
84,computer,NOUN,1,84,0.025
84,current,ADJ,1,84,0.025
84,day,NOUN,1,84,0.025
84,daytoday,NOUN,1,84,0.025
84,device,NOUN,3,84,0.075
84,digital,ADJ,1,84,0.025
84,display,NOUN,1,84,0.025
84,durable,ADJ,1,84,0.025
84,finish,NOUN,1,84,0.025
84,glossy,ADJ,1,84,0.025
84,length,NOUN,1,84,0.025
84,list,NOUN,1,84,0.025
84,material,NOUN,1,84,0.025
84,one,NOUN,1,84,0.025
84,plastic,NOUN,1,84,0.025
84,progress,NOUN,1,84,0.025
84,rectangular,ADJ,1,84,0.025
84,reminder,NOUN,1,84,0.025
84,schedule,NOUN,3,84,0.075
84,smartphone,NOUN,1,84,0.025
84,smooth,ADJ,1,84,0.025
84,surface,NOUN,2,84,0.05
84,tangible,ADJ,1,84,0.025
84,task,NOUN,4,84,0.1
84,todo,ADJ,1,84,0.025
84,top,NOUN,1,84,0.025
84,track,NOUN,1,84,0.025
84,user,NOUN,2,84,0.05
84,width,NOUN,1,84,0.025
