vector,word,Pos,wordCount,doc,percent_of_total
154,app,NOUN,2,154,0.13333333333333333
154,check,NOUN,1,154,0.06666666666666667
154,exercise,NOUN,1,154,0.06666666666666667
154,heart,NOUN,2,154,0.13333333333333333
154,high,ADJ,1,154,0.06666666666666667
154,interface,NOUN,1,154,0.06666666666666667
154,level,NOUN,1,154,0.06666666666666667
154,rate,NOUN,2,154,0.13333333333333333
154,routine,ADJ,1,154,0.06666666666666667
154,set,ADJ,1,154,0.06666666666666667
154,vital,NOUN,1,154,0.06666666666666667
154,wearable,ADJ,1,154,0.06666666666666667
