vector,word,Pos,wordCount,doc,percent_of_total
158,app,NOUN,1,158,0.08333333333333333
158,art,NOUN,1,158,0.08333333333333333
158,board,NOUN,1,158,0.08333333333333333
158,contact,NOUN,1,158,0.08333333333333333
158,entry,NOUN,1,158,0.08333333333333333
158,interactive,ADJ,1,158,0.08333333333333333
158,journal,NOUN,1,158,0.08333333333333333
158,mood,NOUN,1,158,0.08333333333333333
158,parent,NOUN,1,158,0.08333333333333333
158,people,NOUN,1,158,0.08333333333333333
158,therapist,NOUN,1,158,0.08333333333333333
158,therapy,NOUN,1,158,0.08333333333333333
