vector,word,Pos,wordCount,doc,percent_of_total
83,box,NOUN,1,83,0.021739130434782608
83,button,NOUN,1,83,0.021739130434782608
83,computer,NOUN,1,83,0.021739130434782608
83,control,NOUN,2,83,0.043478260869565216
83,day,NOUN,1,83,0.021739130434782608
83,deep,ADJ,1,83,0.021739130434782608
83,device,NOUN,2,83,0.043478260869565216
83,dial,NOUN,1,83,0.021739130434782608
83,digital,ADJ,1,83,0.021739130434782608
83,display,NOUN,1,83,0.021739130434782608
83,duration,NOUN,1,83,0.021739130434782608
83,ergonomic,ADJ,1,83,0.021739130434782608
83,forearm,ADJ,1,83,0.021739130434782608
83,gentle,ADJ,1,83,0.021739130434782608
83,hand,NOUN,1,83,0.021739130434782608
83,help,NOUN,1,83,0.021739130434782608
83,intensity,NOUN,1,83,0.021739130434782608
83,interface,NOUN,1,83,0.021739130434782608
83,long,ADJ,1,83,0.021739130434782608
83,massage,NOUN,4,83,0.08695652173913043
83,mode,NOUN,1,83,0.021739130434782608
83,muscle,NOUN,1,83,0.021739130434782608
83,rest,NOUN,2,83,0.043478260869565216
83,several,ADJ,1,83,0.021739130434782608
83,shape,NOUN,1,83,0.021739130434782608
83,slider,NOUN,1,83,0.021739130434782608
83,soft,ADJ,1,83,0.021739130434782608
83,strain,NOUN,2,83,0.043478260869565216
83,such,ADJ,1,83,0.021739130434782608
83,tangible,ADJ,1,83,0.021739130434782608
83,tissue,NOUN,1,83,0.021739130434782608
83,user,NOUN,1,83,0.021739130434782608
83,variety,NOUN,1,83,0.021739130434782608
83,wrist,NOUN,6,83,0.13043478260869565
