vector,word,Pos,wordCount,percent_of_total
24,overwhelming,ADJ,1,0.2
24,task,NOUN,1,0.2
24,tui,NOUN,1,0.2
26,design,NOUN,1,0.1111111111111111
26,lamp,NOUN,1,0.1111111111111111
26,light,NOUN,1,0.1111111111111111
26,meditation,NOUN,1,0.1111111111111111
26,natural,ADJ,1,0.1111111111111111
26,people,NOUN,1,0.1111111111111111
26,sleep,NOUN,1,0.1111111111111111
26,sound,NOUN,1,0.1111111111111111
26,therapy,NOUN,1,0.1111111111111111
27,brainstorming,NOUN,1,0.1
27,collaborative,ADJ,1,0.1
27,facial,ADJ,1,0.1
27,gesture,NOUN,1,0.1
27,interactive,ADJ,1,0.1
27,multitouch,ADJ,1,0.1
27,recognition,NOUN,1,0.1
27,session,NOUN,1,0.1
27,wallmounted,ADJ,1,0.1
27,whiteboard,NOUN,1,0.1
28,ability,NOUN,1,0.058823529411764705
28,different,ADJ,1,0.058823529411764705
28,digital,ADJ,1,0.058823529411764705
28,metal,NOUN,1,0.058823529411764705
28,other,ADJ,1,0.058823529411764705
28,paper,NOUN,1,0.058823529411764705
28,pen,NOUN,2,0.11764705882352941
28,plastic,NOUN,1,0.058823529411764705
28,surface,NOUN,4,0.23529411764705882
28,type,NOUN,1,0.058823529411764705
28,user,NOUN,2,0.11764705882352941
28,wood,NOUN,1,0.058823529411764705
29,machine,NOUN,1,0.16666666666666666
29,rain,NOUN,1,0.16666666666666666
29,sound,NOUN,2,0.3333333333333333
29,wave,NOUN,1,0.16666666666666666
29,wind,NOUN,1,0.16666666666666666
30,display,NOUN,1,0.09090909090909091
30,interactive,ADJ,1,0.09090909090909091
30,location,NOUN,1,0.09090909090909091
30,public,ADJ,1,0.09090909090909091
30,review,NOUN,1,0.09090909090909091
30,space,NOUN,1,0.09090909090909091
30,tablet,NOUN,1,0.09090909090909091
30,unit,NOUN,1,0.09090909090909091
30,user,NOUN,1,0.09090909090909091
30,wallmounted,ADJ,1,0.09090909090909091
30,work,NOUN,1,0.09090909090909091
50,headphone,NOUN,1,0.3333333333333333
50,level,NOUN,1,0.3333333333333333
50,sound,NOUN,1,0.3333333333333333
51,glass,NOUN,1,0.5
51,space,NOUN,1,0.5
52,band,NOUN,1,0.3333333333333333
52,schedule,NOUN,1,0.3333333333333333
52,wrist,NOUN,1,0.3333333333333333
53,much,ADJ,1,0.3333333333333333
53,pencil,NOUN,1,0.3333333333333333
53,track,NOUN,1,0.3333333333333333
54,glass,NOUN,1,0.5
54,screen,NOUN,1,0.5
55,progress,NOUN,1,0.25
55,table,NOUN,1,0.25
55,task,NOUN,1,0.25
55,track,NOUN,1,0.25
56,break,NOUN,1,0.5
56,device,NOUN,1,0.5
57,idea,NOUN,1,0.3333333333333333
57,speaker,NOUN,1,0.3333333333333333
57,user,NOUN,1,0.3333333333333333
58,alarm,NOUN,1,0.2
58,bottle,NOUN,1,0.2
58,hydrated,ADJ,1,0.2
58,user,NOUN,1,0.2
58,water,NOUN,1,0.2
59,hand,NOUN,1,0.3333333333333333
59,temperature,NOUN,1,0.3333333333333333
59,warm,NOUN,1,0.3333333333333333
60,able,ADJ,1,0.25
60,day,NOUN,1,0.25
60,glass,NOUN,1,0.25
60,time,NOUN,1,0.25
61,back,NOUN,1,0.3333333333333333
61,cushion,NOUN,1,0.3333333333333333
61,vibrate,NOUN,1,0.3333333333333333
62,clipboard,NOUN,1,0.1
62,device,NOUN,1,0.1
62,ez,NOUN,1,0.1
62,info,NOUN,2,0.2
62,multiple,ADJ,1,0.1
62,note,NOUN,1,0.1
62,piece,NOUN,1,0.1
62,sort,NOUN,1,0.1
62,sticky,ADJ,1,0.1
63,device,NOUN,1,0.5
63,need,NOUN,1,0.5
64,ambience,NOUN,1,0.14285714285714285
64,atmosphere,NOUN,1,0.14285714285714285
64,kind,NOUN,1,0.14285714285714285
64,light,NOUN,1,0.14285714285714285
64,replicate,ADJ,1,0.14285714285714285
64,sort,NOUN,1,0.14285714285714285
64,sunlightcoffeeshopcheerful,ADJ,1,0.14285714285714285
65,hand,NOUN,1,0.2
65,mousekeyboard,NOUN,1,0.2
65,smth,NOUN,1,0.2
65,strain,NOUN,1,0.2
65,wristsfinger,NOUN,1,0.2
66,ambience,NOUN,1,0.2
66,atmosphere,NOUN,1,0.2
66,headphone,NOUN,1,0.2
66,librarycoffeeshop,NOUN,1,0.2
66,pleasing,ADJ,1,0.2
67,schedule,NOUN,1,0.25
67,task,NOUN,1,0.25
67,visual,ADJ,1,0.25
67,wayalway,NOUN,1,0.25
75,adjustment,NOUN,1,0.02564102564102564
75,ambience,NOUN,3,0.07692307692307693
75,atmosphere,NOUN,1,0.02564102564102564
75,background,NOUN,1,0.02564102564102564
75,cafe,NOUN,1,0.02564102564102564
75,calming,ADJ,1,0.02564102564102564
75,changing,NOUN,1,0.02564102564102564
75,coffeeshop,NOUN,1,0.02564102564102564
75,color,NOUN,2,0.05128205128205128
75,cool,ADJ,1,0.02564102564102564
75,cozy,ADJ,1,0.02564102564102564
75,cycle,NOUN,1,0.02564102564102564
75,daylight,NOUN,1,0.02564102564102564
75,device,NOUN,2,0.05128205128205128
