vector,word,Pos,wordCount,doc,percent_of_total
85,bad,ADJ,1,85,0.03571428571428571
85,breathable,ADJ,1,85,0.03571428571428571
85,comfort,NOUN,1,85,0.03571428571428571
85,fabric,NOUN,1,85,0.03571428571428571
85,foam,NOUN,1,85,0.03571428571428571
85,goal,NOUN,1,85,0.03571428571428571
85,pillow,NOUN,5,85,0.17857142857142858
85,posture,NOUN,5,85,0.17857142857142858
85,sensor,NOUN,1,85,0.03571428571428571
85,smart,ADJ,2,85,0.07142857142857142
85,smartphone,NOUN,1,85,0.03571428571428571
85,soft,ADJ,1,85,0.03571428571428571
85,supportive,ADJ,1,85,0.03571428571428571
85,time,NOUN,1,85,0.03571428571428571
85,user,NOUN,4,85,0.14285714285714285
85,well,ADJ,1,85,0.03571428571428571
