vector,word,Pos,wordCount,doc,percent_of_total
115,breakseat,NOUN,1,115,0.05555555555555555
115,control,NOUN,1,115,0.05555555555555555
115,day,NOUN,2,115,0.1111111111111111
115,hour,NOUN,2,115,0.1111111111111111
115,light,NOUN,2,115,0.1111111111111111
115,lighting,NOUN,1,115,0.05555555555555555
115,machine,NOUN,1,115,0.05555555555555555
115,natural,ADJ,1,115,0.05555555555555555
115,people,NOUN,1,115,0.05555555555555555
115,person,NOUN,1,115,0.05555555555555555
115,room,NOUN,1,115,0.05555555555555555
115,setup,NOUN,1,115,0.05555555555555555
115,sunlight,NOUN,1,115,0.05555555555555555
115,time,NOUN,1,115,0.05555555555555555
115,user,NOUN,1,115,0.05555555555555555
