vector,word,wordCount,dt,doc_id,doc,percent_of_total
1,skin,1,04/09/2008,M113e9,1,0.0047846889952153
1,son,1,04/09/2008,M113e9,1,0.0047846889952153
1,study,6,04/09/2008,M113e9,1,0.0287081339712918
1,subgroup,1,04/09/2008,M113e9,1,0.0047846889952153
1,suffering,1,04/09/2008,M113e9,1,0.0047846889952153
1,surge,1,04/09/2008,M113e9,1,0.0047846889952153
1,symptom,1,04/09/2008,M113e9,1,0.0047846889952153
1,system,1,04/09/2008,M113e9,1,0.0047846889952153
1,team,2,04/09/2008,M113e9,1,0.0095693779904306
1,technology,1,04/09/2008,M113e9,1,0.0047846889952153
1,test,1,04/09/2008,M113e9,1,0.0047846889952153
1,thousand,1,04/09/2008,M113e9,1,0.0047846889952153
1,tissue,1,04/09/2008,M113e9,1,0.0047846889952153
1,trace,2,04/09/2008,M113e9,1,0.0095693779904306
1,turn,2,04/09/2008,M113e9,1,0.0095693779904306
1,unvaccinated,1,04/09/2008,M113e9,1,0.0047846889952153
1,vaccination,3,04/09/2008,M113e9,1,0.0143540669856459
1,vaccine,10,04/09/2008,M113e9,1,0.0478468899521531
1,virus,7,04/09/2008,M113e9,1,0.0334928229665071
1,waste,1,04/09/2008,M113e9,1,0.0047846889952153
1,work,3,04/09/2008,M113e9,1,0.0143540669856459
1,year,3,04/09/2008,M113e9,1,0.0143540669856459
1,young,2,04/09/2008,M113e9,1,0.0095693779904306
1,youngster,3,04/09/2008,M113e9,1,0.0143540669856459
2,aftermath,1,30/11/2011,M18a98,2,0.0294117647058823
2,american,1,30/11/2011,M18a98,2,0.0294117647058823
2,attraction,2,30/11/2011,M18a98,2,0.0588235294117647
2,building,1,30/11/2011,M18a98,2,0.0294117647058823
2,child,1,30/11/2011,M18a98,2,0.0294117647058823
2,contributor,1,30/11/2011,M18a98,2,0.0294117647058823
2,cult,1,30/11/2011,M18a98,2,0.0294117647058823
2,cyanide,1,30/11/2011,M18a98,2,0.0294117647058823
2,day,1,30/11/2011,M18a98,2,0.0294117647058823
2,dead,1,30/11/2011,M18a98,2,0.0294117647058823
2,death,1,30/11/2011,M18a98,2,0.0294117647058823
2,excerpt,1,30/11/2011,M18a98,2,0.0294117647058823
2,first,1,30/11/2011,M18a98,2,0.0294117647058823
2,follower,1,30/11/2011,M18a98,2,0.0294117647058823
2,government,1,30/11/2011,M18a98,2,0.0294117647058823
2,grim,1,30/11/2011,M18a98,2,0.0294117647058823
2,grisly,1,30/11/2011,M18a98,2,0.0294117647058823
2,history,1,30/11/2011,M18a98,2,0.0294117647058823
2,jonestown,1,30/11/2011,M18a98,2,0.0294117647058823
2,jungle,1,30/11/2011,M18a98,2,0.0294117647058823
2,leader,1,30/11/2011,M18a98,2,0.0294117647058823
2,local,1,30/11/2011,M18a98,2,0.0294117647058823
2,man,1,30/11/2011,M18a98,2,0.0294117647058823
2,massacre,1,30/11/2011,M18a98,2,0.0294117647058823
2,more,1,30/11/2011,M18a98,2,0.0294117647058823
2,program,1,30/11/2011,M18a98,2,0.0294117647058823
2,report,1,30/11/2011,M18a98,2,0.0294117647058823
2,story,1,30/11/2011,M18a98,2,0.0294117647058823
2,superstitious,1,30/11/2011,M18a98,2,0.0294117647058823
2,today,1,30/11/2011,M18a98,2,0.0294117647058823
2,tourist,2,30/11/2011,M18a98,2,0.0588235294117647
2,year,1,30/11/2011,M18a98,2,0.0294117647058823
3,10bn,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,1970,2,26/05/2020,M0ea6f,3,0.0028129395218002
3,1980,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,25bn,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,39bn,2,26/05/2020,M0ea6f,3,0.0028129395218002
3,59th,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,6th,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,70,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,74bn,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,80,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,89bn,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,92nd,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,More,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,able,2,26/05/2020,M0ea6f,3,0.0028129395218002
3,absence,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,accessible,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,additional,1,26/05/2020,M0ea6f,3,0.0014064697609001
