vector,word,wordCount_x,dt,doc_id,doc,percent_of_total,wordCount_y,wordavg
1,part,1,04/09/2008,M113e9,1,0.0047846889952153,4,0.0056872543915299
1,patient,3,04/09/2008,M113e9,1,0.0143540669856459,14,0.0126007274796915
1,population,1,04/09/2008,M113e9,1,0.0047846889952153,8,0.0044160204691504
1,precede,1,04/09/2008,M113e9,1,0.0047846889952153,1,0.0047846889952153
1,problem,2,04/09/2008,M113e9,1,0.0095693779904306,7,0.0065890324151655
1,product,1,04/09/2008,M113e9,1,0.0047846889952153,6,0.0077529162632769
1,prominent,1,04/09/2008,M113e9,1,0.0047846889952153,2,0.0033727366544703
1,quarter,1,04/09/2008,M113e9,1,0.0047846889952153,2,0.0033727366544703
1,question,1,04/09/2008,M113e9,1,0.0047846889952153,4,0.0036469008345331
1,rarity,1,04/09/2008,M113e9,1,0.0047846889952153,1,0.0047846889952153
1,rash,1,04/09/2008,M113e9,1,0.0047846889952153,1,0.0047846889952153
1,red,1,04/09/2008,M113e9,1,0.0047846889952153,1,0.0047846889952153
1,relationship,1,04/09/2008,M113e9,1,0.0047846889952153,1,0.0047846889952153
1,research,2,04/09/2008,M113e9,1,0.0095693779904306,4,0.0067454733089407
1,researcher,3,04/09/2008,M113e9,1,0.0143540669856459,5,0.0061356338361921
1,respect,1,04/09/2008,M113e9,1,0.0047846889952153,1,0.0047846889952153
1,role,1,04/09/2008,M113e9,1,0.0047846889952153,4,0.0028569657633426
1,rubella,1,04/09/2008,M113e9,1,0.0047846889952153,1,0.0047846889952153
1,safe,2,04/09/2008,M113e9,1,0.0095693779904306,6,0.007103629646934
1,same,1,04/09/2008,M113e9,1,0.0047846889952153,5,0.0068616324039791
1,sample,2,04/09/2008,M113e9,1,0.0095693779904306,10,0.0131528898320353
1,serious,1,04/09/2008,M113e9,1,0.0047846889952153,1,0.0047846889952153
1,sign,1,04/09/2008,M113e9,1,0.0047846889952153,3,0.0029458411727152
1,significant,1,04/09/2008,M113e9,1,0.0047846889952153,3,0.0055369985856579
1,similar,1,04/09/2008,M113e9,1,0.0047846889952153,1,0.0047846889952153
1,skin,1,04/09/2008,M113e9,1,0.0047846889952153,1,0.0047846889952153
1,son,1,04/09/2008,M113e9,1,0.0047846889952153,1,0.0047846889952153
1,study,6,04/09/2008,M113e9,1,0.0287081339712918,6,0.0287081339712918
1,subgroup,1,04/09/2008,M113e9,1,0.0047846889952153,1,0.0047846889952153
1,suffering,1,04/09/2008,M113e9,1,0.0047846889952153,1,0.0047846889952153
1,surge,1,04/09/2008,M113e9,1,0.0047846889952153,1,0.0047846889952153
1,symptom,1,04/09/2008,M113e9,1,0.0047846889952153,3,0.0037803416395686
1,system,1,04/09/2008,M113e9,1,0.0047846889952153,8,0.0079164847246542
1,team,2,04/09/2008,M113e9,1,0.0095693779904306,3,0.0058307140998178
1,technology,1,04/09/2008,M113e9,1,0.0047846889952153,9,0.0049718494953216
1,test,1,04/09/2008,M113e9,1,0.0047846889952153,37,0.0266119882452122
1,thousand,1,04/09/2008,M113e9,1,0.0047846889952153,1,0.0047846889952153
1,tissue,1,04/09/2008,M113e9,1,0.0047846889952153,1,0.0047846889952153
1,trace,2,04/09/2008,M113e9,1,0.0095693779904306,3,0.0070168318523581
1,turn,2,04/09/2008,M113e9,1,0.0095693779904306,3,0.0054879238756653
1,unvaccinated,1,04/09/2008,M113e9,1,0.0047846889952153,1,0.0047846889952153
1,vaccination,3,04/09/2008,M113e9,1,0.0143540669856459,5,0.0091378178065484
1,vaccine,10,04/09/2008,M113e9,1,0.0478468899521531,16,0.0152516170323538
1,virus,7,04/09/2008,M113e9,1,0.0334928229665071,24,0.0157461693616003
1,waste,1,04/09/2008,M113e9,1,0.0047846889952153,1,0.0047846889952153
1,work,3,04/09/2008,M113e9,1,0.0143540669856459,7,0.0079083193426357
1,year,3,04/09/2008,M113e9,1,0.0143540669856459,21,0.0119075121197916
1,young,2,04/09/2008,M113e9,1,0.0095693779904306,3,0.005765081152078
1,youngster,3,04/09/2008,M113e9,1,0.0143540669856459,3,0.0143540669856459
2,aftermath,1,30/11/2011,M18a98,2,0.0294117647058823,1,0.0294117647058823
2,american,1,30/11/2011,M18a98,2,0.0294117647058823,1,0.0294117647058823
2,attraction,2,30/11/2011,M18a98,2,0.0588235294117647,2,0.0588235294117647
2,building,1,30/11/2011,M18a98,2,0.0294117647058823,2,0.0154091172333912
2,child,1,30/11/2011,M18a98,2,0.0294117647058823,11,0.0248115833255151
2,contributor,1,30/11/2011,M18a98,2,0.0294117647058823,1,0.0294117647058823
2,cult,1,30/11/2011,M18a98,2,0.0294117647058823,1,0.0294117647058823
2,cyanide,1,30/11/2011,M18a98,2,0.0294117647058823,1,0.0294117647058823
2,day,1,30/11/2011,M18a98,2,0.0294117647058823,8,0.0094425587194961
2,dead,1,30/11/2011,M18a98,2,0.0294117647058823,2,0.0162782093969663
2,death,1,30/11/2011,M18a98,2,0.0294117647058823,4,0.0115799343647444
2,excerpt,1,30/11/2011,M18a98,2,0.0294117647058823,1,0.0294117647058823
2,first,1,30/11/2011,M18a98,2,0.0294117647058823,14,0.0095281087807186
2,follower,1,30/11/2011,M18a98,2,0.0294117647058823,1,0.0294117647058823
2,government,1,30/11/2011,M18a98,2,0.0294117647058823,17,0.0128281064025486
2,grim,1,30/11/2011,M18a98,2,0.0294117647058823,1,0.0294117647058823
2,grisly,1,30/11/2011,M18a98,2,0.0294117647058823,1,0.0294117647058823
2,history,1,30/11/2011,M18a98,2,0.0294117647058823,4,0.0168155869942913
2,jonestown,1,30/11/2011,M18a98,2,0.0294117647058823,1,0.0294117647058823
2,jungle,1,30/11/2011,M18a98,2,0.0294117647058823,1,0.0294117647058823
2,leader,1,30/11/2011,M18a98,2,0.0294117647058823,5,0.0127324613447482
2,local,1,30/11/2011,M18a98,2,0.0294117647058823,1,0.0294117647058823
2,man,1,30/11/2011,M18a98,2,0.0294117647058823,4,0.0121593291404611
2,massacre,1,30/11/2011,M18a98,2,0.0294117647058823,1,0.0294117647058823
2,more,1,30/11/2011,M18a98,2,0.0294117647058823,25,0.0124410895319474
2,program,1,30/11/2011,M18a98,2,0.0294117647058823,1,0.0294117647058823
2,report,1,30/11/2011,M18a98,2,0.0294117647058823,4,0.0176470588235293
2,story,1,30/11/2011,M18a98,2,0.0294117647058823,4,0.0087177672474282
2,superstitious,1,30/11/2011,M18a98,2,0.0294117647058823,1,0.0294117647058823
2,today,1,30/11/2011,M18a98,2,0.0294117647058823,2,0.0162782093969663
2,tourist,2,30/11/2011,M18a98,2,0.0588235294117647,4,0.0308182344667824
2,year,1,30/11/2011,M18a98,2,0.0294117647058823,21,0.0119075121197916
3,10bn,1,26/05/2020,M0ea6f,3,0.0014064697609001,1,0.0014064697609001
3,1970,2,26/05/2020,M0ea6f,3,0.0028129395218002,2,0.0028129395218002
