vector,word,Pos,wordCount,dt,doc_id,doc,subcorpus,percent_of_total
8,act,NOUN,1,16/06/2020,M12fbb,8,mainstream,0.004464285714285714
8,adviser,NOUN,1,16/06/2020,M12fbb,8,mainstream,0.004464285714285714
8,aerosol,NOUN,1,16/06/2020,M12fbb,8,mainstream,0.004464285714285714
8,air,NOUN,1,16/06/2020,M12fbb,8,mainstream,0.004464285714285714
8,airborne,ADJ,1,16/06/2020,M12fbb,8,mainstream,0.004464285714285714
8,argument,NOUN,1,16/06/2020,M12fbb,8,mainstream,0.004464285714285714
8,attache,NOUN,1,16/06/2020,M12fbb,8,mainstream,0.004464285714285714
8,attitude,NOUN,1,16/06/2020,M12fbb,8,mainstream,0.004464285714285714
8,binary,ADJ,1,16/06/2020,M12fbb,8,mainstream,0.004464285714285714
8,bleak,ADJ,1,16/06/2020,M12fbb,8,mainstream,0.004464285714285714
8,body,NOUN,1,16/06/2020,M12fbb,8,mainstream,0.004464285714285714
8,breathing,NOUN,1,16/06/2020,M12fbb,8,mainstream,0.004464285714285714
8,british,ADJ,1,16/06/2020,M12fbb,8,mainstream,0.004464285714285714
8,business,NOUN,1,16/06/2020,M12fbb,8,mainstream,0.004464285714285714
8,calculation,NOUN,1,16/06/2020,M12fbb,8,mainstream,0.004464285714285714
8,case,NOUN,1,16/06/2020,M12fbb,8,mainstream,0.004464285714285714
8,chance,NOUN,2,16/06/2020,M12fbb,8,mainstream,0.008928571428571428
8,chief,ADJ,1,16/06/2020,M12fbb,8,mainstream,0.004464285714285714
8,choice,NOUN,1,16/06/2020,M12fbb,8,mainstream,0.004464285714285714
8,church,NOUN,1,16/06/2020,M12fbb,8,mainstream,0.004464285714285714
8,conjunction,NOUN,1,16/06/2020,M12fbb,8,mainstream,0.004464285714285714
8,consideration,NOUN,1,16/06/2020,M12fbb,8,mainstream,0.004464285714285714
8,convincing,ADJ,1,16/06/2020,M12fbb,8,mainstream,0.004464285714285714
8,coronavirus,NOUN,1,16/06/2020,M12fbb,8,mainstream,0.004464285714285714
8,cough,NOUN,1,16/06/2020,M12fbb,8,mainstream,0.004464285714285714
8,country,NOUN,2,16/06/2020,M12fbb,8,mainstream,0.008928571428571428
8,covering,NOUN,5,16/06/2020,M12fbb,8,mainstream,0.022321428571428572
8,critical,ADJ,2,16/06/2020,M12fbb,8,mainstream,0.008928571428571428
8,customer,NOUN,1,16/06/2020,M12fbb,8,mainstream,0.004464285714285714
8,danger,NOUN,1,16/06/2020,M12fbb,8,mainstream,0.004464285714285714
8,day,NOUN,1,16/06/2020,M12fbb,8,mainstream,0.004464285714285714
8,decision,NOUN,2,16/06/2020,M12fbb,8,mainstream,0.008928571428571428
8,different,ADJ,1,16/06/2020,M12fbb,8,mainstream,0.004464285714285714
8,difficult,ADJ,1,16/06/2020,M12fbb,8,mainstream,0.004464285714285714
8,disagreement,NOUN,1,16/06/2020,M12fbb,8,mainstream,0.004464285714285714
8,discussion,NOUN,2,16/06/2020,M12fbb,8,mainstream,0.008928571428571428
8,disease,NOUN,1,16/06/2020,M12fbb,8,mainstream,0.004464285714285714
8,disperse,NOUN,1,16/06/2020,M12fbb,8,mainstream,0.004464285714285714
8,distance,NOUN,4,16/06/2020,M12fbb,8,mainstream,0.017857142857142856
